method,data,num_subject,num_room,num_conflict,run,start,end,duration,status
mip,data_10_2_24_(0).txt,10,2,24,2,1675288805.2880006,1675288805.6187143,0.3307137489318847,0
mip,data_10_2_24_(0).txt,10,2,24,3,1675288805.6189697,1675288805.934925,0.3159554004669189,0
mip,data_10_2_24_(0).txt,10,2,24,4,1675288805.9350271,1675288806.271529,0.3365018367767334,0
mip,data_10_2_24_(0).txt,10,2,24,5,1675288806.271618,1675288806.5978663,0.3262484073638916,0
mip,data_10_2_24_(1).txt,10,2,24,1,1675288806.597978,1675288807.3467684,0.7487902641296387,0
mip,data_10_2_24_(1).txt,10,2,24,2,1675288807.346931,1675288808.0871308,0.7401998043060303,0
mip,data_10_2_24_(1).txt,10,2,24,3,1675288808.0872626,1675288808.8431945,0.7559318542480469,0
mip,data_10_2_24_(1).txt,10,2,24,4,1675288808.8432572,1675288809.6375878,0.7943305969238281,0
mip,data_10_2_24_(1).txt,10,2,24,5,1675288809.6377532,1675288810.4221847,0.7844314575195312,0
mip,data_10_2_24_(2).txt,10,2,24,1,1675288810.422329,1675288810.8473642,0.4250352382659912,0
mip,data_10_2_24_(2).txt,10,2,24,2,1675288810.847479,1675288811.269244,0.4217648506164551,0
mip,data_10_2_24_(2).txt,10,2,24,3,1675288811.2693443,1675288811.6755023,0.4061582088470459,0
mip,data_10_2_24_(2).txt,10,2,24,4,1675288811.6755912,1675288812.0845072,0.4089159965515136,0
mip,data_10_2_24_(2).txt,10,2,24,5,1675288812.08474,1675288812.502874,0.4181342124938965,0
mip,data_10_2_24_(3).txt,10,2,24,1,1675288812.5029671,1675288812.841507,0.3385398387908935,0
mip,data_10_2_24_(3).txt,10,2,24,2,1675288812.8416,1675288813.183224,0.3416240215301513,0
mip,data_10_2_24_(3).txt,10,2,24,3,1675288813.183338,1675288813.5116382,0.3283002376556396,0
mip,data_10_2_24_(3).txt,10,2,24,4,1675288813.5117776,1675288813.8297305,0.3179528713226318,0
mip,data_10_2_24_(3).txt,10,2,24,5,1675288813.829809,1675288814.1698265,0.340017557144165,0
mip,data_10_2_24_(4).txt,10,2,24,1,1675288814.1699593,1675288814.950384,0.7804245948791504,0
mip,data_10_2_24_(4).txt,10,2,24,2,1675288814.9504683,1675288815.803883,0.8534145355224609,0
mip,data_10_2_24_(4).txt,10,2,24,3,1675288815.804044,1675288816.6974208,0.8933768272399902,0
mip,data_10_2_24_(4).txt,10,2,24,4,1675288816.69755,1675288817.629494,0.9319438934326172,0
mip,data_10_2_24_(4).txt,10,2,24,5,1675288817.629573,1675288818.4731834,0.8436102867126465,0
mip,data_10_2_40_(0).txt,10,2,40,1,1675289111.1564872,1675289111.82742,0.6709327697753906,0
mip,data_10_2_40_(0).txt,10,2,40,2,1675289111.8276172,1675289112.3640397,0.5364224910736084,0
mip,data_10_2_40_(0).txt,10,2,40,3,1675289112.3641624,1675289112.919471,0.5553085803985596,0
mip,data_10_2_40_(0).txt,10,2,40,4,1675289112.9195678,1675289113.446977,0.5274088382720947,0
mip,data_10_2_40_(0).txt,10,2,40,5,1675289113.4470887,1675289113.9919386,0.5448498725891113,0
mip,data_10_2_40_(1).txt,10,2,40,1,1675289113.9920306,1675289115.7597802,1.767749547958374,0
mip,data_10_2_40_(1).txt,10,2,40,2,1675289115.7598982,1675289117.5158284,1.7559301853179932,0
mip,data_10_2_40_(1).txt,10,2,40,3,1675289117.5160873,1675289119.0924976,1.5764102935791016,0
mip,data_10_2_40_(1).txt,10,2,40,4,1675289119.0925877,1675289120.682812,1.590224266052246,0
mip,data_10_2_40_(1).txt,10,2,40,5,1675289120.6828854,1675289122.3769548,1.6940693855285645,0
mip,data_10_2_40_(2).txt,10,2,40,1,1675289122.377061,1675289123.0581782,0.6811172962188721,0
mip,data_10_2_40_(2).txt,10,2,40,2,1675289123.058269,1675289123.7340713,0.6758022308349609,0
mip,data_10_2_40_(2).txt,10,2,40,3,1675289123.73429,1675289124.4182663,0.6839761734008789,0
mip,data_10_2_40_(2).txt,10,2,40,4,1675289124.418381,1675289125.13169,0.7133090496063232,0
mip,data_10_2_40_(2).txt,10,2,40,5,1675289125.131775,1675289125.812462,0.680687427520752,0
mip,data_10_2_40_(3).txt,10,2,40,1,1675289125.812616,1675289127.2356434,1.423027515411377,0
mip,data_10_2_40_(3).txt,10,2,40,2,1675289127.2357934,1675289128.7910776,1.5552842617034912,0
mip,data_10_2_40_(3).txt,10,2,40,3,1675289128.7911968,1675289130.2698376,1.4786407947540283,0
mip,data_10_2_40_(3).txt,10,2,40,4,1675289130.2699344,1675289131.762176,1.492241621017456,0
mip,data_10_2_40_(3).txt,10,2,40,5,1675289131.7622464,1675289133.2310283,1.4687819480895996,0
mip,data_10_2_40_(4).txt,10,2,40,1,1675289133.2311046,1675289134.179424,0.9483194351196288,0
mip,data_10_2_40_(4).txt,10,2,40,2,1675289134.17956,1675289135.1240778,0.9445178508758544,0
mip,data_10_2_40_(4).txt,10,2,40,3,1675289135.1241574,1675289136.031457,0.9072995185852052,0
mip,data_10_2_40_(4).txt,10,2,40,4,1675289136.0315344,1675289137.063506,1.0319716930389404,0
mip,data_10_2_40_(4).txt,10,2,40,5,1675289137.0635972,1675289137.9938383,0.9302413463592528,0
mip,data_16_3_12_(0).txt,16,3,12,1,1675289155.240523,1675289157.1112037,1.870680570602417,0
mip,data_16_3_12_(0).txt,16,3,12,2,1675289157.1112952,1675289159.060665,1.9493696689605715,0
mip,data_16_3_12_(0).txt,16,3,12,3,1675289159.0607653,1675289161.0487373,1.9879720211029053,0
mip,data_16_3_12_(0).txt,16,3,12,4,1675289161.048822,1675289162.985737,1.936915397644043,0
mip,data_16_3_12_(0).txt,16,3,12,5,1675289162.9858336,1675289164.8841114,1.898277759552002,0
mip,data_16_3_12_(1).txt,16,3,12,1,1675289164.8842103,1675289167.9736218,3.089411497116089,0
mip,data_16_3_12_(1).txt,16,3,12,2,1675289167.973747,1675289171.069654,3.095906972885132,0
mip,data_16_3_12_(1).txt,16,3,12,3,1675289171.0697594,1675289174.1776888,3.1079294681549072,0
mip,data_16_3_12_(1).txt,16,3,12,4,1675289174.1777542,1675289177.239392,3.0616378784179688,0
mip,data_16_3_12_(1).txt,16,3,12,5,1675289177.2394714,1675289180.283552,3.0440804958343506,0
mip,data_16_3_12_(2).txt,16,3,12,1,1675289180.2836206,1675289185.0566742,4.773053646087647,0
mip,data_16_3_12_(2).txt,16,3,12,2,1675289185.0567937,1675289189.6427138,4.585920333862305,0
mip,data_16_3_12_(2).txt,16,3,12,3,1675289189.6427927,1675289194.2979712,4.655178546905518,0
mip,data_16_3_12_(2).txt,16,3,12,4,1675289194.2980547,1675289198.8832788,4.585224151611328,0
mip,data_16_3_12_(2).txt,16,3,12,5,1675289198.8833685,1675289203.3540273,4.470659017562866,0
mip,data_16_3_12_(3).txt,16,3,12,1,1675289203.354107,1675289207.887343,4.533236265182495,0
mip,data_16_3_12_(3).txt,16,3,12,2,1675289207.887575,1675289212.448271,4.560696363449097,0
mip,data_16_3_12_(3).txt,16,3,12,3,1675289212.4484007,1675289217.1501706,4.701769828796387,0
mip,data_16_3_12_(3).txt,16,3,12,4,1675289217.150324,1675289221.4696865,4.319362640380859,0
mip,data_16_3_12_(3).txt,16,3,12,5,1675289221.469874,1675289225.8644063,4.394532203674316,0
mip,data_16_3_12_(4).txt,16,3,12,1,1675289225.8644774,1675289231.2655244,5.401046991348267,0
mip,data_16_3_12_(4).txt,16,3,12,2,1675289231.2656045,1675289237.0780678,5.8124635219573975,0
mip,data_16_3_12_(4).txt,16,3,12,3,1675289237.0781338,1675289243.109401,6.031267166137695,0
mip,data_16_3_12_(4).txt,16,3,12,4,1675289243.109506,1675289248.948447,5.8389410972595215,0
mip,data_16_3_12_(4).txt,16,3,12,5,1675289248.9485557,1675289254.638826,5.69027042388916,0
mip,data_16_3_24_(0).txt,16,3,24,1,1675289329.5187235,1675289332.5514736,3.032750129699707,0
mip,data_16_3_24_(0).txt,16,3,24,2,1675289332.551709,1675289335.87608,3.324371099472046,0
mip,data_16_3_24_(0).txt,16,3,24,3,1675289335.8761864,1675289338.9489944,3.072808027267456,0
mip,data_16_3_24_(0).txt,16,3,24,4,1675289338.949159,1675289342.1249502,3.1757915019989014,0
mip,data_16_3_24_(0).txt,16,3,24,5,1675289342.1250792,1675289345.2396212,3.114542007446289,0
mip,data_16_3_24_(1).txt,16,3,24,1,1675289345.2397203,1675289351.0274687,5.787748336791992,0
mip,data_16_3_24_(1).txt,16,3,24,2,1675289351.027603,1675289357.5515397,6.523936986923218,0
